term,estimate,std.error,statistic,p.value,model
PercentCrop,0.02960987164707857,0.004064145051731482,7.285633576110584,3.573587847576206e-13,Var6
LandDiversity,-0.0015123432038449762,0.00272410467082025,-0.55517073923213,0.5787966590632834,Var6
MeanCropArea,-0.005924739054219189,0.0029609058267279077,-2.000988684184734,0.04543440587864524,Var6
LargeFarms,0.08384959197996983,0.002385108045763956,35.15546900648377,2.2591038459827916e-248,Var6
ShrubGrassCropEdge,-0.010033739475161004,0.0030174421577100615,-3.3252466661285114,8.882141536602912e-4,Var6
CropDiversity,0.009031634264363207,0.0020092716647112786,4.49497916234289,7.076260928025636e-6,Var6
PercentCrop,0.0289876206770271,0.004067679490941034,7.126328596337118,1.140116454502615e-12,Var5_3yrs
LandDiversity,-7.025068884825259e-4,0.0027220837728399116,-0.2580768804736712,0.7963556036960884,Var5_3yrs
MeanCropArea,-0.00616428693233609,0.002964721119693513,-2.079213080579175,0.03763620883588979,Var5_3yrs
LargeFarms,0.08481784759323083,0.002378807082560752,35.65562260808708,7.596049568028425e-255,Var5_3yrs
ShrubGrassCropEdge,-0.00976147204889377,0.003021210909982387,-3.23098000759923,0.0012397040155092468,Var5_3yrs
PercentCrop,0.02793995912860961,0.0035338384059748207,7.906405420624286,2.969536549588385e-15,Var5
LandDiversity,-6.358507771252896e-4,0.0023367335706220077,-0.2721109437204835,0.7855431054214793,Var5
MeanCropArea,-0.007136836487863261,0.0026029149723930008,-2.7418630894815514,0.006121537885573624,Var5
LargeFarms,0.08018330312260698,0.0020634969760337427,38.85796977358682,5.838162500857742e-305,Var5
ShrubGrassCropEdge,-0.008720295857204246,0.0025996128443070716,-3.354459444336469,7.985657871570935e-4,Var5
PercentCrop,0.021827601270001724,0.004058843301438375,5.3777886084605555,7.800235473831517e-8,Var6_crops
LandDiversity,-0.002627378809447425,0.00264944354135783,-0.9916719373083538,0.3213940494429766,Var6_crops
MeanCropArea,-0.003192943553725516,0.0028738820706692156,-1.1110210771390503,0.2665998721528629,Var6_crops
LargeFarms,0.07959181646595917,0.00278798314925902,28.54816984353467,4.247561857034028e-169,Var6_crops
ShrubGrassCropEdge,-0.004826600297831893,0.002932937831517087,-1.6456538034886656,0.0998828161982797,Var6_crops
CropDiversity,0.009100573011261139,0.0019453655664686473,4.6780785925912545,2.953629373212415e-6,Var6_crops
SoyGrains,-0.011848620211589984,0.0029381455791408287,-4.032686567918378,5.576615237629804e-5,Var6_crops
Corn,0.03752898144998914,0.003629316238829763,10.340510162346721,7.158609410020123e-25,Var6_crops
FruitVeg,0.05056642561230712,0.002384187324972612,21.209082475466978,1.2720496038406396e-96,Var6_crops
PercentCrop,0.021123138813983686,0.004062479560528109,5.199568022254307,2.0577611327107645e-7,Var5_3yrs_crops
LandDiversity,-0.0017647258612117237,0.00264720885843999,-0.6666364293793136,0.5050277634494531,Var5_3yrs_crops
MeanCropArea,-0.003386273287707266,0.0028781408791127105,-1.1765488313244783,0.23941818573014992,Var5_3yrs_crops
LargeFarms,0.08067546931499187,0.0027827481204019044,28.991294153974717,5.043499617028993e-174,Var5_3yrs_crops
ShrubGrassCropEdge,-0.004422345671863557,0.0029363125633627488,-1.506088189330553,0.13209253071136037,Var5_3yrs_crops
SoyGrains,-0.012506301062633566,0.002939433135005296,-4.254664245870329,2.1226640206049435e-5,Var5_3yrs_crops
Corn,0.038207124333072086,0.0036321696148193636,10.519091448038617,1.1268527011671188e-25,Var5_3yrs_crops
FruitVeg,0.05013601186265393,0.002386188610872626,21.010917424636965,6.447389043952768e-95,Var5_3yrs_crops
PercentCrop,0.023112701524319105,0.0034862779165611784,6.62962106793746,3.564813932511979e-11,Var5_crops
LandDiversity,-0.0011850772821621327,0.002259531450496727,-0.524479215326527,0.5999585692070397,Var5_crops
MeanCropArea,-0.0044497465222169035,0.002518499736855864,-1.7668242950749875,0.07729254264515394,Var5_crops
LargeFarms,0.08177151932265267,0.002381918567635602,34.330107012777816,2.0584255749408e-242,Var5_crops
ShrubGrassCropEdge,-0.001793865004057724,0.002505457558066007,-0.7159829941172222,0.4740209714834306,Var5_crops
SoyGrains,-0.02662405650841809,0.002473834114350887,-10.76226427389373,7.638123726637537e-27,Var5_crops
Corn,0.03739830557547161,0.0030839886607533407,12.12660281517901,1.4190630656111596e-33,Var5_crops
FruitVeg,0.04926248052948627,0.002031505617959202,24.24924651646993,8.975291103698463e-126,Var5_crops
