term,GVIF,Df,GVIF^(1/(2*Df))
PercentCrop,11.817651744407026,1,3.437681158049278
PercentNatural,6.403543103077193,1,2.530522298474604
LargeFarms,5.984149609744203,1,2.4462521557975587
SoyGrains,6.340355681214259,1,2.5180062909401673
Corn,8.471083479920066,1,2.9105125802717406
FruitVeg,2.7411981161459,1,1.6556564003880454
LandDiversity,3.3943163672139276,1,1.8423670555060214
CropDiversity,2.267102477551386,1,1.5056900336893333
factor(Year),1.0356163719623352,2,1.0087875805510944
factor(ASDCode),2913.9369777027377,302,1.0132949874487018
